"crl.tot","dollar","bang","money","n000","make","yesno"
253,0.189,0.882,0,0.37,0,"y"
112,0.08,0,0,0,0,"n"
17,0,0.5,0,0,0,"y"
319,0,0.141,0,0,0,"n"
513,0.464,0.406,0,0.66,0.33,"y"
2049,0.157,0.502,0.08,0.42,0,"y"
491,0.036,0,0,0,0.12,"n"
354,0,0.07,0,0,0,"n"
137,0,0,0,0,0,"n"
67,0,0,0,0,0,"n"
244,0.031,0,0,0,0.23,"n"
166,0,0.492,0,0,0,"y"
66,0,0,0,0,0,"y"
6,0,0,0,0,0,"n"
1407,0.117,0.403,0.08,0.85,0.08,"y"
12,0,0,0,0,0,"n"
553,0.221,0.177,0.42,0,0,"y"
114,0,0,0,0,0,"n"
29,0,0.389,0,0,0,"n"
84,0,0.23,0,0,0,"y"
62,0,0.237,0,0,0,"n"
126,0,0,0,0,0,"y"
33,0,0,0,0,0,"n"
14,0,0,0,0,0,"n"
300,0,0.079,0,0,0,"n"
53,0,0,0,0,2,"n"
53,0,0,0,0,0,"n"
160,0,1.351,0,0,0,"y"
114,0,1.133,0,0,0,"y"
249,0,0.05,0,0,0,"n"
41,0,0,0,0.74,0.74,"n"
305,0.124,0.035,0,0.55,0,"y"
56,0,0,0,0,0,"y"
25,0,0.537,6.66,0,0,"y"
1361,0.071,0.071,0,0.04,0.04,"n"
37,0,0,0,0,0,"n"
1222,0.08,0.269,0,0.14,0,"y"
28,0,0,0,0,0,"n"
204,0,0,0,0.59,0,"y"
32,0,0,0,0,0,"n"
216,0,0.167,0,0,0.17,"n"
50,0,0.543,0,0,0,"y"
1057,0.02,0.352,0,0,0,"y"
65,0,0.484,0,0,0,"n"
65,0,0,0,0,0,"n"
29,0,0,0,0,0,"n"
35,0,0,0,0,0,"n"
3,0,0,0,0,0,"n"
1090,0.016,0,0,0,0.05,"n"
2218,0.486,0.324,0.46,0.46,0.35,"y"
61,0,0.15,0,0,0,"n"
16,0,0.952,0,0,0,"n"
59,0,0,0,0,0,"n"
46,0,0,0,0,0,"n"
77,0,0,0,0,0,"n"
79,0.416,0.208,0,1.11,0,"y"
47,0,0.338,0,0,0,"n"
5,0,0,0,0,0,"n"
34,0,0.809,0,0,0,"y"
157,0.242,1.089,0,1.36,0,"y"
127,0,0,0,0,0,"n"
282,0,0.147,0,0,0,"n"
83,0.176,0.176,0.51,0,1.03,"y"
41,0,0,0,0,0,"n"
1029,0.206,0.275,0.3,0.9,0.3,"y"
773,0.245,1.633,0,0,0.45,"y"
195,0,0,0,0,0,"n"
167,0,0.094,0,0,0,"n"
121,0.132,0.044,0,0,0,"n"
329,0,0,0,0,0,"n"
67,0,0.376,0,0,0,"n"
156,0,0,0,0,0,"n"
180,0,2.412,0,0,0,"y"
393,0.016,0,0,0,0,"n"
20,0,0,0,0,0,"n"
6,0,0,0,0,0,"n"
